,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
0,METALLURGICAL INDUSTRIES,2000-01,103.65,22.69
1,MINING,2000-01,6.03,1.32
2,POWER,2000-01,408.47,89.42
3,NON-CONVENTIONAL ENERGY,2000-01,0.0,0.0
4,COAL PRODUCTION,2000-01,0.0,0.0
5,PETROLEUM & NATURAL GAS,2000-01,42.71,9.35
6,BOILERS AND STEAM GENERATING PLANTS,2000-01,0.0,0.0
7,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2000-01,0.0,0.0
8,ELECTRICAL EQUIPMENTS,2000-01,364.34,79.76
9,COMPUTER SOFTWARE & HARDWARE,2000-01,1043.29,228.39
10,ELECTRONICS,2000-01,38.1,8.34
11,TELECOMMUNICATIONS,2000-01,811.69,177.69
12,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2000-01,372.29,81.5
13,AUTOMOBILE INDUSTRY,2000-01,892.27,195.33
14,AIR TRANSPORT (INCLUDING AIR FREIGHT),2000-01,0.0,0.0
15,SEA TRANSPORT,2000-01,11.01,2.41
16,PORTS,2000-01,0.0,0.0
17,RAILWAY RELATED COMPONENTS,2000-01,0.0,0.0
18,INDUSTRIAL MACHINERY,2000-01,25.03,5.48
19,MACHINE TOOLS,2000-01,6.49,1.42
20,AGRICULTURAL MACHINERY,2000-01,16.63,3.64
21,EARTH-MOVING MACHINERY,2000-01,0.0,0.0
22,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2000-01,203.28,44.5
23,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2000-01,55.73,12.2
24,MEDICAL AND SURGICAL APPLIANCES,2000-01,24.76,5.42
25,INDUSTRIAL INSTRUMENTS,2000-01,4.61,1.01
26,SCIENTIFIC INSTRUMENTS,2000-01,36.86,8.07
27,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2000-01,0.0,0.0
28,FERTILIZERS,2000-01,0.0,0.0
29,CHEMICALS (OTHER THAN FERTILIZERS),2000-01,507.69,111.14
30,PHOTOGRAPHIC RAW FILM AND PAPER,2000-01,0.0,0.0
31,DYE-STUFFS,2000-01,4.8,1.05
